Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
3V3 5V0 LED1 LED2,4,KP-1608CGCK,LED_0603,KINGBRIGHT,KP-1608CGCK,Top,
C1 C2 C3,3,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,Top,
C4,1,C_22u_0805,0805-cap,MULTICOMP,MC0805X226M6R3CT,Top,
C5,1,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,Top,
C6 C7 C8,3,C_22u_0805_10V,0805-cap,AVX,0805ZD226MAT2A,Top,
D1,1,1N4148WS,SOD-323F,ON Semiconductor,1N4148WS,Top,
FB1,1,BLM18PG121SN1D,0603,Murata Electronics North America,BLM18PG121SN1D,Top,
J2,1,685119134923,HDMI_A_Female_685119134923,Wurth Elektronik,685119134923,Top,
L1,1,XFL4020-102MEB,XFL4020-102MEB,Coilcraft,XFL4020-102MEB,Top,
Q2 Q3,2,BSS138AKA,SOT-23-3,ON Semiconductor,BSS138AKA,Top,
R10,1,R_402k_0402,0402-res,VISHAY,CRCW0402402KFKED,Top,
R11,1,R_100k_0402,0402-res,VISHAY,CRCW0402100KFKEDHP,Top,
R12,1,R_0R_0603,0603-res,BOURNS,CR0603-J/-000ELF,Top,
R13 R14 R3,3,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,Top,
R4,1,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,Top,
R5,1,R_470R_0402,0402-res,VISHAY,CRCW0402470RFKED.,Top,
R6 R7 R8,3,R_330R_0402,0402-res,MULTICOMP,MCMR04X3300FTL,Top,
R9,1,R_1M_0603,0603-res,BOURNS,CR0603-JW-105GLF,Top,
U1,1,TPD12S016PWR,TPD12S016PWR,Texas Instruments,TPD12S016PWR,Top,
U2,1,TPS61232DRCT,VSON-10-1EP_3x3mm,Texas Instruments,TPS61232DRCT,Top,
J1,1,SMH-120-02-T-D,SMH-120-02-T-D,SAMTEC,SMH-120-02-T-D,Bottom,
Q1,1,BSS138AKA,SOT-23-3,ON Semiconductor,BSS138AKA,DNP,
R1 R2,2,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,DNP,
J3,1,solder_jumper,SolderJumper-0.6x1.4mm,None,None,Virtual,
N1,1,oshw_logo,oshw-logo,,,Virtual,
N2,1,antmicro_logo,antmicro-logo,,,Virtual,
TP1 TP2 TP3 TP4 TP5 TP6,6,TP_SMD1MM,Testpoint_smd_1mm,,,Virtual,
