Reference,Quantity,Value,Footprint,Manufacturer,MPN,
3V3 5V0 LED1 LED2,4,KP-1608CGCK,LED_0603,KINGBRIGHT,KP-1608CGCK,
C1 C2 C3,3,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,
C4,1,C_22u_0805,0805-cap,MULTICOMP,MC0805X226M6R3CT,
C5,1,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,
C6 C7 C8,3,C_22u_0805_10V,0805-cap,AVX,0805ZD226MAT2A,
D1,1,1N4148WS,SOD-323F,ON Semiconductor,1N4148WS,
FB1,1,BLM18PG121SN1D,0603,Murata Electronics North America,BLM18PG121SN1D,
J1,1,SMH-120-02-T-D,SMH-120-02-T-D,SAMTEC,SMH-120-02-T-D,
J2,1,685119134923,HDMI_A_Female_685119134923,Amphenol,685119134923,
L1,1,XFL4020-102MEB,XFL4020-102MEB,Coilcraft,XFL4020-102MEB,
Q2 Q3,2,BSS138AKA,SOT-23-3,ON Semiconductor,BSS138AKA,
R10,1,R_402k_0402,0402-res,VISHAY,CRCW0402402KFKED,
R11,1,R_100k_0402,0402-res,VISHAY,CRCW0402100KFKEDHP,
R12,1,R_0R_0603,0603-res,BOURNS,CR0603-J/-000ELF,
R13 R14 R3,3,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,
R4,1,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,
R5,1,R_470R_0402,0402-res,VISHAY,CRCW0402470RFKED.,
R6 R7 R8,3,R_330R_0402,0402-res,MULTICOMP,MCMR04X3300FTL,
R9,1,R_1M_0603,0603-res,BOURNS,CR0603-JW-105GLF,
U1,1,TPD12S016PWR,TPD12S016PWR,Texas Instruments,TPD12S016PWR,
U2,1,TPS61232DRCT,VSON-10-1EP_3x3mm,Texas Instruments,TPS61232DRCT,
